Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Пила 5,Saw V,https://www.kinopoisk.ru/film/400094/,Дэвид Хэкл,США,2008,ужасы,"Тобин Белл, Костас Мэндилор",92.0,6.8,72 599
Гремлины,Gremlins,https://www.kinopoisk.ru/film/7114/,Джо Данте,США,1984,ужасы,"Зак Гэллиган, Фиби Кейтс",106.0,7.4,72 589
Календарь дьявола,Le calendrier,https://www.kinopoisk.ru/film/1388586/,Патрик Ридремон,Франция,2020,ужасы,"Южени Деруан, Онорин Манье",104.0,6.3,72 588
Клаустрофобы: Квест в Москве,Follow Me,https://www.kinopoisk.ru/film/1170756/,Уилл Верник,США,2020,ужасы,"Кигэн Аллен, Холлэнд Роден",91.0,5.9,72 573
Король Ричард,King Richard,https://www.kinopoisk.ru/film/1272469/,Рейнальдо Маркус Грин,США,2021,биография,"Уилл Смит, Онжаню Эллис",144.0,7.6,72 535
Ты не ты,You're Not You,https://www.kinopoisk.ru/film/715319/,Джордж С. Вольф,США,2014,драма,"Хилари Суэнк, Эмми Россам",103.0,7.4,72 490
Близнецы,Twins,https://www.kinopoisk.ru/film/4456/,Айвен Райтман,США,1988,комедия,"Арнольд Шварценеггер, Дэнни ДеВито",107.0,7.2,72 483
Если только,If Only,https://www.kinopoisk.ru/film/23275/,Джил Джангер,США,2003,фэнтези,"Дженнифер Лав Хьюитт, Пол Николлс",92.0,7.6,72 472
Химера,Splice,https://www.kinopoisk.ru/film/397244/,Винченцо Натали,Канада,2009,ужасы,"Эдриан Броуди, Сара Полли",104.0,5.7,72 449
Астрал 4: Последний ключ,Insidious: The Last Key,https://www.kinopoisk.ru/film/982198/,Адам Робител,США,2018,ужасы,"Лин Шэй, Ли Уоннелл",103.0,5.8,72 429
Ошибка времени,Time Lapse,https://www.kinopoisk.ru/film/736209/,Брэдли Кинг,США,2014,фантастика,"Даниэль Панабэйкер, Мэтью О’Лири",104.0,6.8,72 362
Гретель и Гензель,Gretel & Hansel,https://www.kinopoisk.ru/film/1209712/,Осгуд Перкинс,США,2020,ужасы,"София Лиллис, Сэмми Лики",87.0,5.8,72 338
Любите Куперов,Love the Coopers,https://www.kinopoisk.ru/film/669958/,Джесси Нельсон,США,2015,фэнтези,"Алан Аркин, Джон Гудман",107.0,6.5,72 322
21 мост,21 Bridges,https://www.kinopoisk.ru/film/1174226/,Брайан Кирк,Китай,2019,боевик,"Чедвик Боузман, Сиенна Миллер",99.0,6.9,72 307
Человек-слон,The Elephant Man,https://www.kinopoisk.ru/film/464/,Дэвид Линч,США,1980,драма,"Энтони Хопкинс, Джон Хёрт",125.0,8.1,72 280
Снеговик,The Snowman,https://www.kinopoisk.ru/film/572230/,Томас Альфредсон,США,2017,детектив,"Майкл Фассбендер, Ребекка Фергюсон",119.0,5.8,72 176
Скандал,Bombshell,https://www.kinopoisk.ru/film/1161271/,Джей Роуч,США,2019,драма,"Шарлиз Терон, Николь Кидман",109.0,6.6,72 135
Человек на Луне,First Man,https://www.kinopoisk.ru/film/463803/,Дэмьен Шазелл,США,2018,драма,"Райан Гослинг, Клэр Фой",141.0,7.1,72 092
Бегущий человек,The Running Man,https://www.kinopoisk.ru/film/5194/,Пол Майкл Глейзер,США,1987,фантастика,"Арнольд Шварценеггер, Ричард Доусон",101.0,7.1,72 057
Три девятки,Triple 9,https://www.kinopoisk.ru/film/565861/,Джон Хиллкоут,США,2015,криминал,"Чиветель Эджиофор, Кейси Аффлек",115.0,6.3,72 020
"Огонь, вода и ... медные трубы",,https://www.kinopoisk.ru/film/42747/,Александр Роу,СССР,1967,фэнтези,"Наталья Седых, Алексей Катышев",86.0,8.0,71 994
Черная месса,Black Mass,https://www.kinopoisk.ru/film/736205/,Скотт Купер,США,2015,драма,"Джонни Депп, Джоэл Эдгертон",123.0,6.6,71 982
Афера под прикрытием,The Infiltrator,https://www.kinopoisk.ru/film/463464/,Брэд Фурман,США,2016,триллер,"Брайан Крэнстон, Джон Легуизамо",127.0,7.1,71 969
Ноттинг Хилл,Notting Hill,https://www.kinopoisk.ru/film/6146/,Роджер Мичелл,Великобритания,1999,драма,"Джулия Робертс, Хью Грант",124.0,7.3,71 942
Тихий омут,Stillwater,https://www.kinopoisk.ru/film/1289692/,Том Маккарти,США,2021,триллер,"Мэтт Дэймон, Камилль Коттен",139.0,6.7,71 941
Superнянь 2,Babysitting 2,https://www.kinopoisk.ru/film/887519/,Николя Бенаму,Франция,2015,комедия,"Филипп Лашо, Алис Давид",93.0,7.0,71 933
Дюймовочка,,https://www.kinopoisk.ru/film/44380/,Леонид Амальрик,СССР,1964,мультфильм,"Галина Новожилова, Елена Понсова",30.0,7.9,71 928
В осаде,Under Siege,https://www.kinopoisk.ru/film/4053/,Эндрю Дэвис,Франция,1992,боевик,"Стивен Сигал, Томми Ли Джонс",103.0,7.3,71 919
Домашнее видео,Sex Tape,https://www.kinopoisk.ru/film/655618/,Джейк Кэздан,США,2014,мелодрама,"Кэмерон Диас, Джейсон Сигел",94.0,5.6,71 913
Посылка,The Box,https://www.kinopoisk.ru/film/1762/,Ричард Келли,США,2009,триллер,"Кэмерон Диас, Джеймс Марсден",115.0,6.1,71 835
Носители,Carriers,https://www.kinopoisk.ru/film/276446/,Давид Пастор,США,2008,фантастика,"Лу Тэйлор Пуччи, Крис Пайн",85.0,6.1,71 793
Гуси-лебеди,,https://www.kinopoisk.ru/film/258001/,Иван Иванов-Вано,СССР,1949,мультфильм,"Мария Бабанова, Вера Орлова",19.0,8.0,71 782
Взрыв из прошлого,Blast from the Past,https://www.kinopoisk.ru/film/2408/,Хью Уилсон,США,1998,комедия,"Брендан Фрейзер, Алисия Сильверстоун",112.0,7.6,71 748
Банши Инишерина,The Banshees of Inisherin,https://www.kinopoisk.ru/film/1354524/,Мартин Макдона,Великобритания,2022,драма,"Колин Фаррелл, Брендан Глисон",114.0,7.5,71 697
Красотка на взводе,Jolt,https://www.kinopoisk.ru/film/1262095/,Таня Уэкслер,США,2021,боевик,"Кейт Бекинсейл, Бобби Каннавале",91.0,6.3,71 695
"Жизнь, как она есть",Life as We Know It,https://www.kinopoisk.ru/film/463952/,Грег Берланти,США,2010,драма,"Кэтрин Хайгл, Джош Дюамель",115.0,7.5,71 684
Спуск 2,The Descent: Part 2,https://www.kinopoisk.ru/film/417879/,Джон Харрис,Великобритания,2009,ужасы,"Шона МакДональд, Натали Джексон Мендоса",94.0,6.0,71 625
Сорвиголова,Daredevil,https://www.kinopoisk.ru/film/648/,Марк Стивен Джонсон,США,2003,боевик,"Бен Аффлек, Дженнифер Гарнер",103.0,6.1,71 586
Андрей Рублев,,https://www.kinopoisk.ru/film/8385/,Андрей Тарковский,СССР,1966,драма,"Анатолий Солоницын, Иван Лапиков",175.0,8.2,71 585
Запрос в друзья,Friend Request,https://www.kinopoisk.ru/film/810130/,Симон Ферхоэвен,Германия,2015,ужасы,"Алисия Дебнем-Кери, Уильям Моусли",92.0,5.5,71 554
"Париж, я люблю тебя","Paris, je t'aime",https://www.kinopoisk.ru/film/77437/,Оливье Ассайас,Франция,2006,мелодрама,"Фанни Ардан, Жюли Батай",120.0,7.5,71 468
Пираньи 3D,Piranha 3D,https://www.kinopoisk.ru/film/171728/,Александр Ажа,США,2010,ужасы,"Элизабет Шу, Стивен Р. МакКуин",85.0,5.3,71 400
Вирус,Gamgi,https://www.kinopoisk.ru/film/766637/,Ким Сон-су,Корея Южная,2013,боевик,"Чан Хёк, Суэ",121.0,6.9,71 393
Они,Haunt,https://www.kinopoisk.ru/film/1021116/,Скотт Бек,США,2018,ужасы,"Кэти Стивенс, Уилл Бриттейн",92.0,6.1,71 371
Игра на выживание,Gone,https://www.kinopoisk.ru/film/580679/,Эйтор Далия,США,2012,триллер,"Аманда Сайфред, Дэниел Сунджата",91.0,6.3,71 315
22 мили,Mile 22,https://www.kinopoisk.ru/film/921938/,Питер Берг,США,2018,боевик,"Марк Уолберг, Лорен Кохэн",94.0,6.3,71 307
Любовь,Love,https://www.kinopoisk.ru/film/842227/,Гаспар Ноэ,Франция,2015,драма,"Карл Глусман, Аоми Муйок",135.0,6.4,71 300
Иные,Freaks,https://www.kinopoisk.ru/film/1178683/,Зак Липовски,США,2018,фантастика,"Лекси Колкер, Эмиль Хирш",105.0,6.6,71 258
Золушка,,https://www.kinopoisk.ru/film/45398/,Надежда Кошеверова,СССР,1947,мюзикл,"Янина Жеймо, Алексей Консовский",84.0,8.0,71 216
Скажи ей,,https://www.kinopoisk.ru/film/1281999/,Александр Молочников,Россия,2020,драма,"Кай Гетц, Артём Быстров",98.0,7.3,71 216
Доспехи Бога 3: Миссия Зодиак,Chinese Zodiac,https://www.kinopoisk.ru/film/654749/,Джеки Чан,Гонконг,2012,боевик,"Джеки Чан, Квон Сан-у",113.0,6.5,71 199
День Святого Валентина,Valentine's Day,https://www.kinopoisk.ru/film/313338/,Гэрри Маршалл,США,2010,мелодрама,"Эштон Кутчер, Дженнифер Гарнер",125.0,6.7,71 196
Белые росы,,https://www.kinopoisk.ru/film/46080/,Игорь Добролюбов,СССР,1983,драма,"Всеволод Санаев, Николай Караченцов",84.0,8.2,71 194
Сердце Ангела,Angel Heart,https://www.kinopoisk.ru/film/7471/,Алан Паркер,Великобритания,1987,ужасы,"Микки Рурк, Роберт Де Ниро",113.0,7.5,71 174
Дело №39,Case 39,https://www.kinopoisk.ru/film/255576/,Кристиан Альварт,Канада,2007,ужасы,"Рене Зеллвегер, Джоделль Ферланд",109.0,6.6,71 088
Шаг вперёд: Всё или ничего,Step Up All In,https://www.kinopoisk.ru/film/734276/,Триш Си,США,2014,драма,"Райан Гузман, Бриана Эвиган",107.0,6.4,71 087
Лесная братва,Over the Hedge,https://www.kinopoisk.ru/film/6036/,Тим Джонсон,США,2006,мультфильм,"Брюс Уиллис, Стив Карелл",83.0,6.8,71 072
Смокинг,The Tuxedo,https://www.kinopoisk.ru/film/2930/,Кевин Донован,США,2002,фантастика,"Джеки Чан, Дженнифер Лав Хьюитт",98.0,6.9,71 067
Танцующая в темноте,Dancer in the Dark,https://www.kinopoisk.ru/film/646/,Ларс фон Триер,Дания,2000,мюзикл,"Бьорк, Катрин Денёв",140.0,8.0,70 966
В гостях у Элис,Home Again,https://www.kinopoisk.ru/film/987151/,Холли Мейерс-Шайер,США,2017,драма,"Риз Уизерспун, Майкл Шин",97.0,6.6,70 957
Пила 3D,Saw 3D,https://www.kinopoisk.ru/film/470156/,Кевин Гротерт,США,2010,ужасы,"Костас Мэндилор, Шон Патрик Флэнери",91.0,6.6,70 952
Вонка,Wonka,https://www.kinopoisk.ru/film/1013343/,Пол Кинг,США,2023,мюзикл,"Тимоти Шаламе, Колин О’Брайэн",116.0,7.2,70 893
