Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Великолепная семерка,The Magnificent Seven,https://www.kinopoisk.ru/film/682648/,Антуан Фукуа,США,2016,вестерн,132.0,6.8,135109,Дензел Вашингтон,Крис Пратт,0,6
Черепашки-ниндзя 2,Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.kinopoisk.ru/film/841518/,Дэйв Грин,США,2016,фантастика,112.0,6.1,135066,Меган Фокс,Уилл Арнетт,0,0
Джунгли,Jungle,https://www.kinopoisk.ru/film/893843/,Грег МакЛин,Австралия,2017,триллер,115.0,7.0,134772,Дэниэл Рэдклифф,Томас Кречман,0,0
Запрещенный прием,Sucker Punch,https://www.kinopoisk.ru/film/429827/,Зак Снайдер,США,2011,фэнтези,110.0,6.6,134662,Эмили Браунинг,Эбби Корниш,0,0
Монстро,Cloverfield,https://www.kinopoisk.ru/film/374718/,Мэтт Ривз,США,2007,ужасы,81.0,6.9,134615,Лиззи Каплан,Джессика Лукас,0,0
Мальчик в девочке,It's a Boy Girl Thing,https://www.kinopoisk.ru/film/195272/,Ник Харран,США,2006,фэнтези,95.0,6.8,134518,Самира Армстронг,Кевин Зегерс,0,0
Жить,,https://www.kinopoisk.ru/film/521526/,Юрий Быков,Россия,2010,триллер,72.0,7.3,134516,Денис Шведов,Владислав Толдыков,0,0
Робокоп,RoboCop,https://www.kinopoisk.ru/film/7410/,Пол Верховен,США,1987,фантастика,102.0,7.6,134440,Питер Уэллер,Нэнси Аллен,0,0
Мавританец,The Mauritanian,https://www.kinopoisk.ru/film/1289785/,Кевин Макдональд,Великобритания,2020,биография,129.0,7.7,134422,Джоди Фостер,Тахар Рахим,0,3
Сапожник,The Cobbler,https://www.kinopoisk.ru/film/801924/,Том Маккарти,США,2014,фэнтези,98.0,6.4,134321,Адам Сэндлер,Метод Мэн,1,0
Бендер: Начало,,https://www.kinopoisk.ru/film/1305913/,Игорь Зайцев,Россия,2021,приключения,96.0,6.9,134287,Сергей Безруков,Арам Вардеванян,0,0
Тело Дженнифер,Jennifer's Body,https://www.kinopoisk.ru/film/404510/,Карин Кусама,США,2009,ужасы,102.0,5.7,134258,Меган Фокс,Аманда Сайфред,0,0
Изумительный Морис,The Amazing Maurice,https://www.kinopoisk.ru/film/1450722/,Тоби Генкель,Великобритания,2022,мультфильм,93.0,7.3,134226,Хью Лори,Эмилия Кларк,0,0
Жизнь прекрасна,50/50,https://www.kinopoisk.ru/film/462515/,Джонатан Левин,США,2011,драма,100.0,7.5,133939,Джозеф Гордон-Левитт,Сет Роген,0,0
Тихая гавань,Safe Haven,https://www.kinopoisk.ru/film/557437/,Лассе Халльстрём,США,2013,триллер,115.0,7.2,133860,Джулианна Хаф,Джош Дюамель,2,0
Три плюс два,,https://www.kinopoisk.ru/film/46792/,Генрих Оганисян,СССР,1963,мелодрама,99.0,8.0,133681,Наталья Кустинская,Наталья Фатеева,0,0
Двенадцать месяцев,,https://www.kinopoisk.ru/film/46788/,Иван Иванов-Вано,СССР,1956,мультфильм,55.0,8.1,133551,Татьяна Барышева,Юлия Юльская,0,0
Римские каникулы,Roman Holiday,https://www.kinopoisk.ru/film/497/,Уильям Уайлер,США,1953,мелодрама,118.0,8.3,133530,Грегори Пек,Одри Хепберн,10,5
Психо,Psycho,https://www.kinopoisk.ru/film/344/,Альфред Хичкок,США,1960,триллер,109.0,8.1,133497,Энтони Перкинс,Вера Майлз,5,0
Песнь моря,Song of the Sea,https://www.kinopoisk.ru/film/714248/,Томм Мур,Ирландия,2014,мультфильм,93.0,8.2,133408,Дэвид Роул,Брендан Глисон,0,0
Форма голоса,Koe no katachi,https://www.kinopoisk.ru/film/963343/,Наоко Ямада,Япония,2016,аниме,130.0,8.2,133408,Мию Ирино,Саори Хаями,0,0
Белый Бим Черное ухо,,https://www.kinopoisk.ru/film/46068/,Станислав Ростоцкий,СССР,1976,драма,183.0,8.4,133376,Вячеслав Тихонов,Валентина Владимирова,0,0
Сад изящных слов,Koto no ha no niwa,https://www.kinopoisk.ru/film/730665/,Макото Синкай,Япония,2013,аниме,46.0,7.9,133346,Мию Ирино,Кана Ханадзава,0,0
Превосходство,Transcendence,https://www.kinopoisk.ru/film/687670/,Уолли Пфистер,Великобритания,2014,фантастика,119.0,6.5,133345,Джонни Депп,Ребекка Холл,0,3
Дорогой Джон,Dear John,https://www.kinopoisk.ru/film/415687/,Лассе Халльстрём,США,2010,мелодрама,108.0,7.2,133236,Ченнинг Татум,Аманда Сайфред,2,0
12 разгневанных мужчин,12 Angry Men,https://www.kinopoisk.ru/film/346/,Сидни Люмет,США,1956,драма,96.0,8.5,133221,Генри Фонда,Мартин Болсам,4,2
Верность,,https://www.kinopoisk.ru/film/1261581/,Нигина Сайфуллаева,Россия,2019,драма,82.0,6.2,133127,Александр Паль,Евгения Громова,0,0
Маша и Медведь: Скажите «Ой!»,,https://www.kinopoisk.ru/film/5264991/,Артем Наумов,Россия,2023,мультфильм,24.0,8.1,133027,Юлия Зуникова,Борис Кутневич,0,0
Битва Титанов,Clash of the Titans,https://www.kinopoisk.ru/film/260999/,Луи Летерье,США,2010,фэнтези,102.0,6.1,132405,Сэм Уортингтон,Мадс Миккельсен,0,0
Очень страшное кино 2,Scary Movie 2,https://www.kinopoisk.ru/film/5931/,Кинен Айвори Уайанс,США,2001,ужасы,83.0,6.3,132318,Анна Фэрис,Шон Уайанс,0,0
RRR: Рядом ревёт революция,RRR,https://www.kinopoisk.ru/film/1115117/,С.С. Раджамули,Индия,2022,боевик,187.0,8.0,132143,НТР мл.,Рам Чаран Теджа,0,0
Ёжик в тумане,,https://www.kinopoisk.ru/film/42461/,Юрий Норштейн,СССР,1975,мультфильм,10.0,8.4,132031,Вячеслав Невинный,Мария Виноградова,0,0
Завтрак у Тиффани,Breakfast at Tiffany's,https://www.kinopoisk.ru/film/17721/,Блейк Эдвардс,США,1961,драма,115.0,8.1,131999,Одри Хепберн,Джордж Пеппард,0,0
Восхождение Юпитер,Jupiter Ascending,https://www.kinopoisk.ru/film/505966/,Лана Вачовски,США,2015,фантастика,127.0,5.6,131972,Ченнинг Татум,Мила Кунис,0,0
Питер FM,,https://www.kinopoisk.ru/film/252063/,Оксана Бычкова,Россия,2006,мелодрама,86.0,7.1,131925,Екатерина Федулова,Евгений Цыганов,0,0
Крым,,https://www.kinopoisk.ru/film/984364/,Алексей Пиманов,Россия,2017,драма,99.0,2.8,131847,Роман Курцын,Евгения Лапова,0,0
Остров собак,Isle of Dogs,https://www.kinopoisk.ru/film/939785/,Уэс Андерсон,США,2018,мультфильм,101.0,8.1,131684,Брайан Крэнстон,Кою Ранкин,1,1
Похождения императора,The Emperor's New Groove,https://www.kinopoisk.ru/film/658/,Марк Диндал,США,2000,мультфильм,78.0,7.9,131650,Дэвид Спейд,Джон Гудман,0,0
365 дней,365 dni,https://www.kinopoisk.ru/film/1298149/,Барбара Бяловас,Польша,2020,мелодрама,114.0,5.0,131386,Анна Мария Сиклуцка,Микеле Морроне,0,0
Охотники за головами,Hodejegerne,https://www.kinopoisk.ru/film/526812/,Мортен Тильдум,Норвегия,2011,боевик,100.0,7.6,131302,Аксель Хенни,Николай Костер-Вальдау,1,0
Рэмбо: Первая кровь,First Blood,https://www.kinopoisk.ru/film/4087/,Тед Котчефф,США,1982,боевик,93.0,7.8,131183,Сильвестр Сталлоне,Ричард Кренна,0,0
Тихое место 2,A Quiet Place Part II,https://www.kinopoisk.ru/film/1129900/,Джон Красински,США,2020,ужасы,97.0,6.6,131066,Эмили Блант,Миллисент Симмондс,0,0
Исход: Цари и боги,Exodus: Gods and Kings,https://www.kinopoisk.ru/film/484611/,Ридли Скотт,Великобритания,2014,фэнтези,150.0,6.6,131003,Кристиан Бэйл,Джоэл Эдгертон,3,0
Жили-были,,https://www.kinopoisk.ru/film/997480/,Эдуард Парри,Россия,2017,комедия,85.0,7.4,130899,Фёдор Добронравов,Ирина Розанова,0,0
Напролом,Lockout,https://www.kinopoisk.ru/film/496888/,Джеймс Мэтер,Франция,2011,фантастика,95.0,6.7,130848,Гай Пирс,Мэгги Грэйс,0,0
Дюна: Часть вторая,Dune: Part Two,https://www.kinopoisk.ru/film/4540126/,Дени Вильнёв,США,2024,фантастика,166.0,8.3,130835,Тимоти Шаламе,Зендея,1,1
Жена путешественника во времени,The Time Traveler's Wife,https://www.kinopoisk.ru/film/102128/,Роберт Швентке,США,2008,фантастика,107.0,7.7,130818,Рэйчел Макадамс,Эрик Бана,0,0
Шерлок Холмс и доктор Ватсон: Сокровища Агры,,https://www.kinopoisk.ru/film/77264/,Игорь Масленников,СССР,1983,мелодрама,151.0,8.4,130669,Василий Ливанов,Виталий Соломин,0,0
Обыкновенное чудо,,https://www.kinopoisk.ru/film/77282/,Марк Захаров,СССР,1978,мюзикл,137.0,8.2,130640,Олег Янковский,Ирина Купченко,0,0
Рокки,Rocky,https://www.kinopoisk.ru/film/6462/,Джон Г. Эвилдсен,США,1976,драма,120.0,8.0,130631,Сильвестр Сталлоне,Талия Шайр,1,1
Эдди «Орёл»,Eddie the Eagle,https://www.kinopoisk.ru/film/394619/,Декстер Флетчер,Великобритания,2015,биография,106.0,7.7,130608,Тэрон Эджертон,Хью Джекман,0,1
Обитель зла 3,Resident Evil: Extinction,https://www.kinopoisk.ru/film/88172/,Рассел Малкэй,Германия,2007,ужасы,94.0,6.6,130584,Милла Йовович,Одед Фер,0,0
Чёрная Молния,,https://www.kinopoisk.ru/film/439906/,Александр Войтинский,Россия,2009,фантастика,100.0,5.3,130559,Григорий Добрыгин,Иван Жидков,0,0
Окулус,Oculus,https://www.kinopoisk.ru/film/680499/,Майк Флэнаган,США,2013,ужасы,105.0,6.4,130533,Карен Гиллан,Брентон Туэйтс,0,0
Околофутбола,,https://www.kinopoisk.ru/film/705162/,Антон Борматов,Россия,2013,драма,100.0,6.7,130337,Александр Ратников,Иван Фоминов,0,0
Визит,The Visit,https://www.kinopoisk.ru/film/838043/,М. Найт Шьямалан,США,2015,ужасы,94.0,6.2,130336,Оливия ДиЙон,Эд Оксенбульд,1,0
Планета обезьян: Война,War for the Planet of the Apes,https://www.kinopoisk.ru/film/819281/,Мэтт Ривз,США,2017,фантастика,140.0,7.0,130236,Энди Серкис,Вуди Харрельсон,0,1
На краю,The Ledge,https://www.kinopoisk.ru/film/1435858/,Ховард Дж. Форд,Великобритания,2022,триллер,86.0,6.1,130101,Бриттани Эшворт,Бен Лэмб,0,0
Капитан Фантастик,Captain Fantastic,https://www.kinopoisk.ru/film/841147/,Мэтт Росс,США,2016,драма,118.0,7.7,129881,Вигго Мортенсен,Джордж Маккэй,0,3
Иллюзия контроля,,https://www.kinopoisk.ru/film/1107082/,Владэк Занковски,Великобритания,2022,триллер,94.0,7.0,129824,Олег Фендюра,Татьяна Коновалова,0,0
Тёмная башня,The Dark Tower,https://www.kinopoisk.ru/film/641780/,Николай Арсель,США,2017,фантастика,95.0,5.8,129760,Идрис Эльба,Мэттью Макконахи,0,1
Дюплекс,Duplex,https://www.kinopoisk.ru/film/1796/,Дэнни ДеВито,США,2003,комедия,89.0,7.1,129754,Бен Стиллер,Дрю Бэрримор,0,0
